"","x"
"1",9396882.85397443
"2",7887475.30430552
"3",6435175.30719231
"4",5756155.07767786
"5",5570690.51840661
"6",7479516.68374185
"7",8521790.93258645
"8",9080655.26650264
"9",7911891.98834802
"10",5661786.09369947
"11",5568723.35718818
"12",6904665.52040627
